id,adresse,quartier,type_bien,surface,prix,prix_m2,annee,etat,date_vente
298,"Avenue Eugène-Pittard 13, 15",Eaux-Vives,Appartement,322.0,3500000,10870,2026,,2026
299,Chemin des Pins 6,Eaux-Vives,Appartement,234.5,1750585,7465,2026,,2026
300,Route de Florissant 85,Florissant,Appartement,124.7,2600000,20843,2026,,2026
301,Route de Florissant 62,Florissant,Appartement,99.4,1490000,14991,2026,,2026
302,Rue Pedro-Meylan 4,Eaux-Vives,Appartement,66.7,730000,10948,2026,,2026
303,"Route de Florissant 89a, 89b",Florissant,Appartement,87.3,2170000,24863,2026,,2026
304,Route de Florissant 95,Florissant,Appartement,183.2,2000000,10919,2026,,2026
305,Route de Florissant 62,Florissant,Appartement,99.4,1585000,15947,2026,,2026
306,"Avenue Eugène-Pittard 13, 15",Eaux-Vives,Appartement,232.1,3400000,14648,2026,,2026
307,Rue Robert-de-Traz 8,Eaux-Vives,Appartement,230.8,2400000,10396,2026,,2026
308,Rue Robert-de-Traz 8,Eaux-Vives,Appartement,230.8,2170000,9400,2026,,2026
309,Route de Florissant 86c,Florissant,Appartement,47.1,440000,9346,2026,,2026
310,"Route de Florissant 89a, 89b",Florissant,Appartement,113.1,2120000,18740,2026,,2026
311,Chemin Rieu 4,Eaux-Vives,Appartement,176.9,2100000,11871,2026,,2026
312,Route de Florissant 104,Florissant,Maison individuelle,393.0,4200000,10687,2025,,2025
313,Rue Robert-de-Traz 8,Eaux-Vives,Appartement,344.2,4000000,11619,2025,,2025
314,Rue Robert-de-Traz 4,Eaux-Vives,Appartement,304.3,4350000,14295,2025,,2025
315,Rue le-Corbusier 13,Eaux-Vives,Appartement,194.9,2075000,10648,2025,,2025
316,"Rue Robert-de-Traz 5, 7",Eaux-Vives,Appartement,144.6,1700000,11757,2025,,2025
317,Chemin des Pins 6,Eaux-Vives,Appartement,234.5,1335000,5693,2025,,2025
318,"Route de Florissant 114, 116",Florissant,Appartement,217.3,1800000,8283,2025,,2025
319,Avenue Eugène-Pittard 5,Eaux-Vives,Appartement,356.4,3150000,8838,2025,,2025
320,Route de Florissant 86c,Florissant,Appartement,58.0,680000,11732,2025,,2025
321,Route de Florissant 96,Florissant,Maison individuelle,774.0,8500000,10982,2025,,2025
322,Route de Florissant 62,Florissant,Appartement,162.6,2500000,15371,2025,,2025
323,"Route de Florissant 114, 116",Florissant,Appartement,272.8,2200600,8066,2025,,2025
324,Rue Pedro-Meylan 2,Eaux-Vives,Appartement,327.0,3030000,9266,2025,,2025
325,"Route de Florissant 89a, 89b",Florissant,Appartement,250.8,3600000,14352,2025,,2025
326,Avenue Eugène-Pittard 7,Eaux-Vives,Appartement,205.8,2450000,11904,2025,,2025
327,Route de Florissant 110,Florissant,Maison individuelle,1284.0,8600000,6698,2025,,2025
328,"Chemin Rieu 16, 18, 20, 22",Eaux-Vives,Appartement,127.4,1580000,12400,2025,,2025
329,Rue le-Corbusier 38,Eaux-Vives,Appartement,98.2,1500000,15280,2025,,2025
330,"Avenue Eugène-Pittard 13, 15",Eaux-Vives,Appartement,232.1,2500000,10770,2025,,2025
331,"Route de Florissant 57, 59, Rue Robert-de-Traz 1, 3",Florissant,Appartement,211.2,1700000,8050,2025,,2025
332,"Route de Florissant 89a, 89b",Florissant,Appartement,93.4,1730000,18522,2025,,2025
333,Route de Florissant 72,Florissant,Appartement,150.6,1770000,11753,2025,,2025
334,Route de Florissant 86b,Florissant,Appartement,202.9,2650000,13058,2025,,2025
335,Avenue Eugène-Pittard 11,Eaux-Vives,Appartement,164.7,2520000,15305,2025,,2025
336,Avenue Eugène-Pittard 11,Eaux-Vives,Appartement,116.5,1780000,15284,2025,,2025
337,Route de Florissant 72,Florissant,Appartement,125.5,1600000,12749,2025,,2025
338,Route de Florissant 72,Florissant,Appartement,115.5,1240000,10740,2025,,2025
339,Route de Florissant 72,Florissant,Appartement,190.8,2540000,13315,2025,,2025
340,Route de Florissant 62,Florissant,Appartement,103.9,1550000,14917,2025,,2025
341,Route de Florissant 62,Florissant,Appartement,99.4,1400000,14086,2025,,2025
342,Route de Florissant 62,Florissant,Appartement,117.5,1640000,13962,2025,,2025
343,"Chemin des Pins 3, 5, 7",Eaux-Vives,Appartement,212.8,2500000,11749,2025,,2025
344,Rue Pedro-Meylan 6,Eaux-Vives,Appartement,49.5,520000,10505,2025,,2025
345,Rue Pedro-Meylan 2,Eaux-Vives,Appartement,311.1,2400000,7715,2025,,2025
346,Rue Robert-de-Traz 15,Eaux-Vives,Appartement,77.0,1300000,16888,2025,,2025
347,Rue Robert-de-Traz 14,Eaux-Vives,Appartement,217.5,1650000,7587,2025,,2025
348,"Chemin Rieu 16, 18, 20, 22",Eaux-Vives,Appartement,33.6,617000,18352,2025,,2025
349,"Chemin Rieu 16, 18, 20, 22",Eaux-Vives,Appartement,60.2,950000,15770,2025,,2025
350,Rue Robert-de-Traz 16,Eaux-Vives,Appartement,697.5,4900000,7026,2025,,2025
351,"Chemin Rieu 15, 15a",Eaux-Vives,Appartement,290.9,4100000,14094,2025,,2025
352,Route de Florissant 86c,Florissant,Appartement,58.0,760000,13112,2025,,2025
353,Rue le-Corbusier 12,Eaux-Vives,Appartement,106.0,1500000,14147,2025,,2025
354,Rue Pedro-Meylan 6,Eaux-Vives,Appartement,202.9,2380000,11728,2025,,2025
355,Route de Florissant 95,Florissant,Appartement,188.9,1960000,10376,2025,,2025
356,"Route de Florissant 89a, 89b",Florissant,Appartement,33.3,597500,17943,2025,,2025
357,"Chemin Rieu 16, 18, 20, 22",Eaux-Vives,Appartement,162.3,2180000,13430,2025,,2025
358,Avenue Eugène-Pittard 5,Eaux-Vives,Appartement,145.6,1800000,12365,2025,,2025
359,Rue Pedro-Meylan 6,Eaux-Vives,Appartement,218.1,1860000,8529,2025,,2025
360,Rue Robert-de-Traz 2,Eaux-Vives,Appartement,253.3,2960000,11684,2025,,2025
361,Chemin de la Florence 15,Eaux-Vives,Appartement,140.3,1800000,12831,2024,,2024
362,"Rue Robert-de-Traz 5, 7",Eaux-Vives,Appartement,54.5,600000,11015,2024,,2024
363,Avenue Eugène-Pittard 5,Eaux-Vives,Appartement,140.6,1870000,13304,2024,,2024
364,"Avenue Krieg 19, 21",Malagnou,Appartement,231.4,3100000,13397,2024,,2024
365,"Chemin Rieu 16, 18, 20, 22",Eaux-Vives,Appartement,136.7,1600000,11707,2024,,2024
366,Rue le-Corbusier 14,Eaux-Vives,Appartement,77.7,1359000,17484,2024,,2024
367,Chemin du Velours 24,Eaux-Vives,Appartement,121.7,1950000,16026,2024,,2024
368,"Avenue Krieg 19, 21",Malagnou,Appartement,226.2,4116000,18193,2024,,2024
369,"Route de Florissant 89a, 89b",Florissant,Appartement,213.8,4271800,19979,2024,,2024
370,"Route de Florissant 118, 120, 122",Florissant,Appartement,223.9,2550000,11388,2024,,2024
371,Chemin des Pins 6,Eaux-Vives,Appartement,234.5,1636800,6980,2024,,2024
372,"Rue Pedro-Meylan 8, 10",Eaux-Vives,Appartement,51.3,825000,16094,2024,,2024
373,"Chemin Rieu 16, 18, 20, 22",Eaux-Vives,Appartement,153.7,2250000,14638,2024,,2024
374,Chemin de la Florence 10,Eaux-Vives,Appartement,151.3,1800000,11898,2024,,2024
375,"Route de Florissant 57, 59, Rue Robert-de-Traz 1, 3",Florissant,Appartement,90.3,870000,9639,2024,,2024
376,"Route de Florissant 78, 80, 82",Florissant,Appartement,273.6,1600000,5848,2024,,2024
377,"Chemin des Pins 3, 5, 7",Eaux-Vives,Appartement,129.5,1950000,15056,2024,,2024
378,"Route de Florissant 89a, 89b",Florissant,Appartement,31.2,870000,27858,2024,,2024
379,Avenue Eugène-Pittard 5,Eaux-Vives,Appartement,512.0,5800000,11327,2024,,2024
380,"Rue Robert-de-Traz 5, 7",Eaux-Vives,Appartement,172.9,1915000,11075,2024,,2024
381,Route de Florissant 86c,Florissant,Appartement,108.7,825000,7592,2024,,2024
382,"Chemin Rieu 16, 18, 20, 22",Eaux-Vives,Appartement,33.8,517600,15327,2024,,2024
383,Rue Robert-de-Traz 8,Eaux-Vives,Appartement,178.2,1627000,9130,2024,,2024
384,"Chemin Rieu 15, 15a",Eaux-Vives,Appartement,215.0,2430000,11302,2024,,2024
385,Rue le-Corbusier 12,Eaux-Vives,Appartement,74.0,890000,12021,2024,,2024
386,"Chemin Rieu 16, 18, 20, 22",Eaux-Vives,Appartement,183.0,2760000,15079,2023,,2023
387,Chemin Doctoresse-Champendal 18a,Eaux-Vives,Appartement,169.9,1118800,6586,2023,,2023
388,Chemin de la Florence 11,Eaux-Vives,Appartement,241.9,2770000,11450,2023,,2023
389,Chemin de la Florence 11,Eaux-Vives,Appartement,263.3,2900000,11012,2023,,2023
390,Rue Robert-de-Traz 16,Eaux-Vives,Appartement,697.5,4460000,6395,2023,,2023
391,"Chemin du Velours 26, 28",Eaux-Vives,Appartement,112.0,1300000,11612,2023,,2023
392,"Chemin Rieu 16, 18, 20, 22",Eaux-Vives,Appartement,138.1,1660000,12019,2023,,2023
393,Avenue Eugène-Pittard 38,Plainpalais,Appartement,199.0,2520000,12662,2023,,2023
394,Route de Florissant 85,Florissant,Appartement,244.9,4300000,17561,2023,,2023
395,Rue le-Corbusier 21a,Eaux-Vives,Appartement,293.2,3600000,12277,2023,,2023
396,Chemin Doctoresse-Champendal 6,Eaux-Vives,Appartement,146.6,2200000,15006,2023,,2023
397,Chemin Doctoresse-Champendal 6,Eaux-Vives,Appartement,130.1,1890000,14530,2023,,2023
398,"Route de Florissant 118, 120, 122",Florissant,Appartement,278.1,3275000,11778,2023,,2023
399,Rue Pedro-Meylan 6,Eaux-Vives,Appartement,202.9,2000000,9856,2023,,2023
400,Route de Florissant 86c,Florissant,Appartement,47.1,545000,11576,2023,,2023
401,"Rue Pedro-Meylan 8, 10",Eaux-Vives,Appartement,61.7,490000,7946,2023,,2023
402,Route de Florissant 62,Florissant,Appartement,180.7,2415575,13366,2023,,2023
403,"Rue Pedro-Meylan 8, 10",Eaux-Vives,Appartement,451.0,7300000,16188,2023,,2023
404,"Chemin Rieu 16, 18, 20, 22",Eaux-Vives,Appartement,63.2,850000,13456,2023,,2023
405,Rue Robert-de-Traz 14,Eaux-Vives,Appartement,333.5,2620000,7856,2023,,2023
406,"Route de Florissant 89a, 89b",Florissant,Appartement,185.3,3300000,17807,2023,,2023
407,"Route de Florissant 81, Rue le-Corbusier 29, 31",Florissant,Appartement,202.8,1900000,9370,2023,,2023
408,"Route de Florissant 89a, 89b",Florissant,Appartement,52.8,1100000,20818,2023,,2023
409,Chemin Doctoresse-Champendal 18a,Eaux-Vives,Appartement,69.1,454700,6583,2023,,2023
410,"Chemin Rieu 16, 18, 20, 22",Eaux-Vives,Appartement,138.1,1450000,10498,2023,,2023
411,Route de Florissant 112,Florissant,Appartement,204.1,2150000,10537,2023,,2023
412,Chemin Doctoresse-Champendal 18a,Eaux-Vives,Appartement,66.8,426200,6377,2023,,2023
413,Chemin Doctoresse-Champendal 18a,Eaux-Vives,Appartement,146.0,894000,6123,2023,,2023
414,"Route de Florissant 89a, 89b",Florissant,Appartement,34.3,670000,19545,2023,,2023
415,Route de Florissant 86c,Florissant,Appartement,54.3,580000,10676,2023,,2023
416,Avenue Krieg 7,Malagnou,Appartement,159.8,1920000,12017,2023,,2023
417,"Route de Florissant 89a, 89b",Florissant,Appartement,59.2,1150000,19436,2023,,2023
418,Chemin Doctoresse-Champendal 18a,Eaux-Vives,Appartement,146.0,924900,6334,2022,,2022
419,Chemin Doctoresse-Champendal 18a,Eaux-Vives,Appartement,66.8,418400,6261,2022,,2022
420,Rue Robert-de-Traz 10,Eaux-Vives,Appartement,361.7,3045000,8418,2022,,2022
421,"Route de Florissant 81, Rue le-Corbusier 29, 31",Florissant,Appartement,1115.2,11750000,10536,2022,,2022
422,Chemin Doctoresse-Champendal 18a,Eaux-Vives,Appartement,140.4,895400,6377,2022,,2022
423,Rue le-Corbusier 13,Eaux-Vives,Appartement,194.9,2580000,13239,2022,,2022
424,"Avenue Eugène-Pittard 13, 15",Eaux-Vives,Appartement,232.1,2475000,10663,2022,,2022
425,Rue le-Corbusier 13a,Eaux-Vives,Appartement,131.0,1830000,13965,2022,,2022
426,"Chemin Rieu 16, 18, 20, 22",Eaux-Vives,Appartement,61.7,810000,13130,2022,,2022
427,Route de Florissant 112,Florissant,Appartement,288.9,2840000,9832,2022,,2022
428,"Chemin Rieu 16, 18, 20, 22",Eaux-Vives,Appartement,41.1,925000,22495,2022,,2022
429,Rue le-Corbusier 14,Eaux-Vives,Appartement,36.6,600000,16376,2022,,2022
430,"Chemin Rieu 16, 18, 20, 22",Eaux-Vives,Appartement,157.5,2550000,16189,2022,,2022
431,Avenue Eugène-Pittard 7,Eaux-Vives,Appartement,140.6,1700000,12094,2022,,2022
432,"Route de Florissant 89a, 89b",Florissant,Appartement,127.3,2285000,17950,2022,,2022
433,Rue Pedro-Meylan 6,Eaux-Vives,Appartement,119.1,1550000,13016,2022,,2022
434,Avenue Eugène-Pittard 38,Plainpalais,Appartement,269.6,2700000,10013,2022,,2022
435,Rue Pedro-Meylan 6,Eaux-Vives,Appartement,202.9,2085000,10274,2022,,2022
436,Rue le-Corbusier 12,Eaux-Vives,Appartement,75.3,840000,11161,2022,,2022
437,Chemin Doctoresse-Champendal 18a,Eaux-Vives,Appartement,146.0,878500,6017,2022,,2022
438,"Route de Florissant 118, 120, 122",Florissant,Appartement,158.8,1860000,11717,2022,,2022
439,"Chemin Rieu 16, 18, 20, 22",Eaux-Vives,Appartement,41.1,535000,13011,2022,,2022
440,"Route de Florissant 89a, 89b",Florissant,Appartement,31.2,730000,23375,2022,,2022
441,Chemin du Velours 20a,Eaux-Vives,Appartement,154.1,2400000,15573,2022,,2022
442,Rue Robert-de-Traz 4,Eaux-Vives,Appartement,100.2,1300000,12981,2022,,2022
443,Route de Florissant 86c,Florissant,Appartement,43.5,750000,17241,2022,,2022
444,"Route de Florissant 118, 120, 122",Florissant,Appartement,90.6,730000,8055,2022,,2022
445,"Route de Florissant 114, 116",Florissant,Appartement,291.3,2600000,8925,2022,,2022
446,Avenue Eugène-Pittard 5,Eaux-Vives,Appartement,145.6,1500000,10304,2022,,2022
447,"Avenue Krieg 15, 9, 11, 13",Malagnou,Maison individuelle,4774.0,28100000,5886,2022,,2022
448,"Chemin Rieu 16, 18, 20, 22",Eaux-Vives,Appartement,169.4,2280000,13456,2022,,2022
449,"Route de Florissant 57, 59, Rue Robert-de-Traz 1, 3",Florissant,Appartement,226.7,2115000,9330,2022,,2022
450,Rue le-Corbusier 12,Eaux-Vives,Appartement,79.8,875000,10959,2022,,2022
451,"Chemin Rieu 16, 18, 20, 22",Eaux-Vives,Appartement,52.9,665000,12564,2022,,2022
452,"Route de Florissant 57, 59, Rue Robert-de-Traz 1, 3",Florissant,Appartement,493.2,4525000,9175,2022,,2022
453,Rue Robert-de-Traz 14,Eaux-Vives,Appartement,130.4,1300000,9970,2022,,2022
454,"Route de Florissant 89a, 89b",Florissant,Appartement,127.7,2150000,16843,2022,,2022
455,"Route de Florissant 89a, 89b",Florissant,Appartement,168.0,3900000,23218,2022,,2022
456,Route de Florissant 86c,Florissant,Appartement,58.0,600000,10352,2022,,2022
457,"Chemin Rieu 15, 15a",Eaux-Vives,Appartement,316.2,4150000,13125,2022,,2022
458,Rue Robert-de-Traz 4,Eaux-Vives,Appartement,258.1,2650000,10268,2022,,2022
459,"Route de Florissant 81, Rue le-Corbusier 29, 31",Florissant,Appartement,280.8,2000000,7124,2022,,2022
460,Chemin Rieu 4,Eaux-Vives,Appartement,353.8,3360000,9497,2022,,2022
461,Chemin des Pins 6,Eaux-Vives,Appartement,234.5,1280000,5458,2021,,2021
462,"Rue Pedro-Meylan 6, 8, 10",Eaux-Vives,Appartement,178.6,1570000,8793,2021,,2021
463,Chemin Doctoresse-Champendal 8,Eaux-Vives,Appartement,142.3,1900000,13348,2021,,2021
464,Rue Robert-de-Traz 6,Eaux-Vives,Appartement,246.5,2800000,11358,2021,,2021
465,Chemin Doctoresse-Champendal 18a,Eaux-Vives,Appartement,66.8,392200,5869,2021,,2021
466,Chemin Doctoresse-Champendal 18a,Eaux-Vives,Appartement,164.3,977100,5948,2021,,2021
467,Chemin Doctoresse-Champendal 18a,Eaux-Vives,Appartement,236.7,1539800,6505,2021,,2021
468,Chemin Doctoresse-Champendal 18a,Eaux-Vives,Appartement,164.3,1037700,6317,2021,,2021
469,Avenue Eugène-Pittard 5,Eaux-Vives,Appartement,140.6,1460000,10387,2021,,2021
470,Chemin du Velours 24,Eaux-Vives,Appartement,74.2,1250000,16855,2021,,2021
471,Chemin Doctoresse-Champendal 18a,Eaux-Vives,Appartement,160.9,1116000,6936,2021,,2021
472,Chemin Doctoresse-Champendal 18a,Eaux-Vives,Appartement,164.3,1019800,6208,2021,,2021
473,"Avenue Krieg 19, 21",Malagnou,Appartement,123.4,1830000,14830,2021,,2021
474,Rue Alice-Rivaz 4,Eaux-Vives,Appartement,170.0,2300000,13529,2021,,2021
475,Rue Pedro-Meylan 6,Eaux-Vives,Appartement,114.2,1300000,11387,2021,,2021
476,"Route de Florissant 89a, 89b",Florissant,Appartement,83.9,1350000,16098,2021,,2021
477,"Route de Florissant 78, 80, 82",Florissant,Appartement,141.3,1550000,10971,2021,,2021
478,Rue Pedro-Meylan 2,Eaux-Vives,Appartement,478.7,4450000,9296,2021,,2021
479,"Route de Florissant 89a, 89b",Florissant,Appartement,213.8,4000000,18708,2021,,2021
480,Rue Alice-Rivaz 4,Eaux-Vives,Appartement,100.5,1350000,13438,2021,,2021
481,Rue Pedro-Meylan 6,Eaux-Vives,Appartement,133.8,1500000,11212,2021,,2021
482,Rue le-Corbusier 14,Eaux-Vives,Appartement,120.9,1600000,13231,2021,,2021
483,Chemin du Velours 20a,Eaux-Vives,Appartement,154.9,2350000,15166,2021,,2021
484,Rue le-Corbusier 14,Eaux-Vives,Appartement,87.3,800000,9163,2021,,2021
485,Rue Pedro-Meylan 4,Eaux-Vives,Appartement,274.7,2390000,8699,2021,,2021
486,"Rue de Saint-Jean 19, 19a, 19b, 19c, 19d",Genève-Petit-Saconnex,Appartement,119.0,2870000,24108,2023,,2023
487,"Rue du Pont-Neuf 6, 6bis",Carouge,Appartement,162.8,3250000,19958,2022,,2022
488,"Rue des Falaises 2, Rue des Pêcheries 3, Sentier des Saules 9",Plainpalais,Appartement,144.9,2340000,16147,2025,,2025
489,Rue Jacques-Dalphin 39,Carouge,Appartement,194.2,3000000,15449,2024,,2024
490,"Rue des Pêcheries 7, 9",Plainpalais,Appartement,263.2,4000000,15196,2021,,2021
491,"Rue des Falaises 2, Rue des Pêcheries 3, Sentier des Saules 9",Plainpalais,Appartement,144.9,2180000,15043,2023,,2023
492,"Rue des Pêcheries 7, 9",Plainpalais,Appartement,242.4,3600000,14849,2022,,2022
493,"Rue des Falaises 2, Rue des Pêcheries 3, Sentier des Saules 9",Plainpalais,Appartement,165.6,2450000,14792,2022,,2022
494,Rue des Délices 27,Genève-Cité,Appartement,258.0,3600000,13952,2025,,2025
495,"Rue des Caroubiers 8, 10, 12",Carouge,Appartement,168.7,2350000,13928,2022,,2022
496,"Rue des Caroubiers 8, 10, 12",Carouge,Appartement,166.4,2300000,13823,2025,,2025
497,"Passage de l'Intendant 5, 7",Carouge,Appartement,175.2,2400000,13698,2022,,2022
498,Avenue de la Praille 38,Carouge,Appartement,153.7,2100000,13667,2024,,2024
499,Rue Henri-Frédéric-Amiel 9,Champel,Appartement,168.4,2275000,13506,2022,,2022
500,"Rue des Pêcheries 2, Rue du Quartier-Neuf 1",Plainpalais,Appartement,204.3,2740000,13412,2021,,2021
501,Rue Ancienne 24,Carouge,Appartement,165.6,2200000,13285,2024,,2024
502,Rue Louis-de-Montfalcon 13,Carouge,Appartement,159.9,2100000,13131,2025,,2025
503,"Rue de la Dôle 22, 24",Genève-Cité,Appartement,177.3,2190000,12355,2021,,2021
504,Rue des Pavillons 5,Plainpalais,Appartement,240.5,2950000,12267,2022,,2022
505,Chemin des Pâquerettes 5,Lancy,Appartement,254.2,3000000,11802,2022,,2022
506,"Avenue Bella-Vista 11, 13",Veyrier,Appartement,247.0,2805000,11355,2021,,2021
507,"Chemin de Vert-Pré 4, 6, 8",Lancy,Appartement,261.9,2950000,11263,2021,,2021
508,"Avenue Bella-Vista 11, 13",Veyrier,Appartement,247.0,2770000,11213,2021,,2021
509,Chemin des Mésanges 1a,Lancy,Appartement,196.9,2200000,11175,2024,,2024
